Problem	0	1	2	3	4	5	6	7	8	9	10	11	12	14	15	16	17	18	19	20	21	22	23
G1	7	6	6	31	31	7	9	7	6	11	29	19	12	16	6	7	0	9	4	3	3	3	4
G2	6	4	9	8	33	4	26	10	5	3	5	4	2	7	9	5	0	3	6	3	2	2	1
G3	5	5	6	8	16	20	77	19	12	11	8	7	6	1	6	6	0	0	0	0	0	0	0
G4	8	5	6	16	32	7	6	9	6	15	15	7	4	4	4	7	0	14	8	2	5	4	5
G5	8	6	8	18	19	5	4	3	4	4	6	5	5	3	5	4	0	9	4	2	2	2	1
G6	7	6	8	14	22	5	4	2	3	4	18	22	8	8	6	4	0	22	12	6	4	3	1
G7	8	9	5	19	25	12	2	7	7	12	6	15	18	8	9	7	0	13	9	9	8	6	8
G8	11	7	7	15	46	13	7	7	7	14	11	13	9	0	2	8	0	15	2	0	0	0	0
G9	6	11	12	16	28	41	28	30	22	25	56	21	10	0	7	6	0	22	6	6	5	6	0
G10	4	4	6	13	26	13	9	7	7	6	9	5	8	4	5	2	0	9	4	3	3	3	2
G11	6	7	6	7	30	6	15	7	5	10	31	11	8	0	0	6	0	14	7	3	0	0	0
G12	10	9	8	6	20	6	11	5	5	5	4	6	9	0	4	6	0	3	6	1	1	1	1
G13	9	7	8	9	16	9	3	2	10	13	3	12	14	0	13	4	0	15	6	2	3	4	0
G14	5	5	10	2	27	2	2	3	3	3	8	15	0	0	0	6	0	13	3	0	0	0	0
G15	4	8	7	10	35	24	23	19	13	15	18	19	9	7	3	4	0	11	3	2	3	2	0
G16	5	7	7	1	12	4	4	3	4	5	2	8	5	0	0	6	0	10	3	4	1	0	0
