A	L	D
0,34167	0,70833	0,96053
0,68750	0,48182	0,52083
0,30000	0,48000	0,68421
0,33333	0,64211	0,56250
0,26087	0,62500	0,46667
0,27037	0,32500	0,51563
0,49333	0,64286	0,75000
0,50794	0,47222	0,73611
0,49306	0,75000	0,61538
0,54400	0,32353	0,62609
0,41176	0,50000	0,38596
0,51316	0,61000	0,61111
0,51042	0,31159	0,49038
0,33696	0,51579	0,62500
0,41270	0,82500	0,40909
0,55303	0,42308	0,80769
0,58000	0,47619	0,71429
0,23737	0,62222	0,58947
0,38571	0,43056	0,57778
0,64286	0,60000	0,63158
0,39394	0,45833	0,35417
0,54667	0,65263	0,76389
0,42000	0,45833	0,68478
0,54000	0,42708	0,92500
0,57500	0,52222	0,48485
0,62500	0,17284	0,62500
0,40476	0,66364	0,41429
0,51389	0,38667	
0,52632	0,54861	
0,52778	0,60714	
0,47143	0,52222	
	0,62105	
	0,45455	
	0,55000	
	0,67647	
	0,47222	
	0,56944	
	0,81250	
	0,45000	
	0,49231	
	0,53175	
	0,64815	
	0,51667	
	0,64103	
	0,61806	
	0,65625	
	0,45556	
	0,45000	
	0,62500	
	0,37000	
	0,52000	
	0,27083	
	0,39286	
	0,63158	
	0,49123	
	0,38710	
	0,54412	
